"AttributeName","Consistency","ValueIDS","RecordIDS","Values","FusedValue","IsCorrect","CorrectValue"
"Assets","0.3333333333333333","Assets-{fortune_500_id_1060+top_2000_id_1425+us_companies_id_1304}","fortune_500_id_1060+top_2000_id_1425+us_companies_id_1304","{0.0|0.0|0.0}","0.0","true","0.0"
"Name","1.0","Name-{top_2000_id_2066+us_companies_id_1456}","top_2000_id_2066+us_companies_id_1456","{T Rowe Price|T. Rowe Price}","T Rowe Price",,
"Website","1.0","Website-{us_companies_id_1419}","us_companies_id_1419","{http://simpleenergy.com}","http://simpleenergy.com",,
"Marketvalue","0.0","Marketvalue-{top_2000_id_2512+us_companies_id_1247}","top_2000_id_2512+us_companies_id_1247","{28.1|0.0}","0.0",,
"Revenue","0.3333333333333333","Revenue-{fortune_500_id_1005+top_2000_id_1009+us_companies_id_1044}","fortune_500_id_1005+top_2000_id_1009+us_companies_id_1044","{0.0|0.0|0.0}","0.0","true","0.0"
"Revenue","1.0","Revenue-{top_2000_id_1777+us_companies_id_1281+us_companies_id_1347}","top_2000_id_1777+us_companies_id_1281+us_companies_id_1347","{0.0|0.0|0.0}","0.0",,
"Revenuesource","1.0","Revenuesource-{us_companies_id_1489}","us_companies_id_1489","{not reported by company}","not reported by company",,
"Revenue","1.0","Revenue-{top_2000_id_1300+us_companies_id_1227}","top_2000_id_1300+us_companies_id_1227","{0.0|0.0}","0.0",,
"Hqcity","1.0","Hqcity-{us_companies_id_1072}","us_companies_id_1072","{Centreville}","Centreville",,
"Revenuesource","1.0","Revenuesource-{us_companies_id_1247}","us_companies_id_1247","{Not reported by company}","Not reported by company",,
"Foundingdate","1.0","Foundingdate-{us_companies_id_1444}","us_companies_id_1444","{1922}","1922","true","1922"
"Foundingdate","1.0","Foundingdate-{us_companies_id_1456}","us_companies_id_1456","{1937}","1937",,
"Revenue","0.5","Revenue-{top_2000_id_2528+us_companies_id_1461}","top_2000_id_2528+us_companies_id_1461","{0.0|0.0}","0.0",,
"Revenuesource","1.0","Revenuesource-{us_companies_id_1005}","us_companies_id_1005","{Not reported by company}","Not reported by company",,
"Name","0.5","Name-{top_2000_id_1344+us_companies_id_1470}","top_2000_id_1344+us_companies_id_1470","{Thomson Reuters|Thomson Reuters}","Thomson Reuters","true","Thomson Reuters"
"Industry","1.0","Industry-{us_companies_id_1164}","us_companies_id_1164","{Insurance}","Insurance",,
"Hqcity","1.0","Hqcity-{fortune_500_id_1449+us_companies_id_1052}","fortune_500_id_1449+us_companies_id_1052","{McLean|McLean}","McLean","true","McLean"
"Name","0.0","Name-{fortune_500_id_1449+us_companies_id_1052}","fortune_500_id_1449+us_companies_id_1052","{Booz Allen Hamilton Holding|Booz Allen Hamilton}","Booz Allen Hamilton","true","Booz Allen Hamilton"
