"MatchingRule","Record1Identifier","Record2Identifier","TotalSimilarity","IsMatch","[0] CompanyNameComparatorLevenshtein record1Value","[0] CompanyNameComparatorLevenshtein record2Value","[0] CompanyNameComparatorLevenshtein record1PreprocessedValue","[0] CompanyNameComparatorLevenshtein record2PreprocessedValue","[0] CompanyNameComparatorLevenshtein similarity","[0] CompanyNameComparatorLevenshtein postproccesedSimilarity"
"LinearCombinationMatchingRule","us_companies_id_1133","fortune_500_id_1117","0.125",,"Dun & Bradstreet","Paccar","Dun & Bradstreet","Paccar","0.125","0.125"
"LinearCombinationMatchingRule","us_companies_id_1138","fortune_500_id_1430","0.23076923076923073",,"Ecodesk","Owens Corning","Ecodesk","Owens Corning","0.23076923076923073","0.23076923076923073"
"LinearCombinationMatchingRule","us_companies_id_1264","fortune_500_id_1216","0.0625",,"Lawdragon","Truist Financial","Lawdragon","Truist Financial","0.0625","0.0625"
"LinearCombinationMatchingRule","us_companies_id_1133","fortune_500_id_1355","0.0625",,"Dun & Bradstreet","Mosaic","Dun & Bradstreet","Mosaic","0.0625","0.0625"
"LinearCombinationMatchingRule","us_companies_id_1490","fortune_500_id_1077","0.0",,"USSearch","Dow","USSearch","Dow","0.0","0.0"
"LinearCombinationMatchingRule","us_companies_id_1309","fortune_500_id_1179","0.125",,"Municode","Sherwin-Williams","Municode","Sherwin-Williams","0.125","0.125"
"LinearCombinationMatchingRule","us_companies_id_1248","fortune_500_id_1381","0.0",,"JJ Keller","Huntsman","JJ Keller","Huntsman","0.0","0.0"
"LinearCombinationMatchingRule","us_companies_id_1239","fortune_500_id_1430","0.15384615384615385",,"Intelius","Owens Corning","Intelius","Owens Corning","0.15384615384615385","0.15384615384615385"
"LinearCombinationMatchingRule","us_companies_id_1354","fortune_500_id_1179","0.0625",,"PayScale, Inc.","Sherwin-Williams","PayScale, Inc.","Sherwin-Williams","0.0625","0.0625"
"LinearCombinationMatchingRule","us_companies_id_1445","fortune_500_id_1077","0.050000000000000044",,"Sterling Infosystems","Dow","Sterling Infosystems","Dow","0.050000000000000044","0.050000000000000044"
"LinearCombinationMatchingRule","us_companies_id_1107","fortune_500_id_1179","0.19999999999999996",,"Compliance and Risks","Sherwin-Williams","Compliance and Risks","Sherwin-Williams","0.19999999999999996","0.19999999999999996"
"LinearCombinationMatchingRule","us_companies_id_1470","fortune_500_id_1083","0.19999999999999996",,"Thomson Reuters","Deere","Thomson Reuters","Deere","0.19999999999999996","0.19999999999999996"
"LinearCombinationMatchingRule","us_companies_id_1183","fortune_500_id_1430","0.23809523809523814",,"Galorath Incorporated","Owens Corning","Galorath Incorporated","Owens Corning","0.23809523809523814","0.23809523809523814"
"LinearCombinationMatchingRule","us_companies_id_1133","fortune_500_id_1354","0.16666666666666663",,"Dun & Bradstreet","Air Products & Chemicals","Dun & Bradstreet","Air Products & Chemicals","0.16666666666666663","0.16666666666666663"
"LinearCombinationMatchingRule","us_companies_id_1133","fortune_500_id_1112","0.3125",,"Dun & Bradstreet","U.S. Bancorp","Dun & Bradstreet","U.S. Bancorp","0.3125","0.3125"
"LinearCombinationMatchingRule","us_companies_id_1344","fortune_500_id_1061","0.11764705882352944",,"Oversight Systems","Caterpillar","Oversight Systems","Caterpillar","0.11764705882352944","0.11764705882352944"
"LinearCombinationMatchingRule","us_companies_id_1117","fortune_500_id_1283","0.18181818181818177",,"CostQuest","Navistar International","CostQuest","Navistar International","0.18181818181818177","0.18181818181818177"
"LinearCombinationMatchingRule","us_companies_id_1264","fortune_500_id_1212","0.11111111111111116",,"Lawdragon","Ecolab","Lawdragon","Ecolab","0.11111111111111116","0.11111111111111116"
"LinearCombinationMatchingRule","us_companies_id_1133","fortune_500_id_1349","0.0625",,"Dun & Bradstreet","AGCO","Dun & Bradstreet","AGCO","0.0625","0.0625"
"LinearCombinationMatchingRule","us_companies_id_1264","fortune_500_id_1469","0.0",,"Lawdragon","Celanese","Lawdragon","Celanese","0.0","0.0"
"LinearCombinationMatchingRule","us_companies_id_1490","fortune_500_id_1061","0.09090909090909094",,"USSearch","Caterpillar","USSearch","Caterpillar","0.09090909090909094","0.09090909090909094"
